ID,Question
55046d5ff8aee20f27000007,List signaling molecules (ligands) that interact with the receptor EGFR?
54e25eaaae9738404b000017,Is the protein Papilin secreted?
535d292a9a4572de6f000003,Are long non coding RNAs spliced?
55262a9787ecba3764000009,Is RANKL secreted from the cells?
51406e6223fec90375000009,Does metformin interfere thyroxine absorption?
553fa78b1d53b76422000007,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?
5149199dd24251bc05000040,Which acetylcholinesterase inhibitors are used for treatment of myasthenia gravis?
52bf1db603868f1b06000011,Has Denosumab (Prolia) been approved by FDA?
5709e4b2cf1c32585100001c,List the human genes encoding for the dishevelled proteins?
56bc751eac7ad10019000013,Name synonym of Acrokeratosis paraneoplastica.
56c1f01def6e394741000045,Orteronel was developed for treatment of which cancer?
54d4e03a3706e89528000001,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?
56af9f130a360a5e45000015,Where is the protein Pannexin1 located?
52bf1b0a03868f1b06000009,What is the mode of inheritance of Wilson's disease?
52bf19c503868f1b06000001,What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?
